method,threshold,precision,recall,f1,accuracy
baseline_95th_percentile,0.7003819,0.9439300411522634,0.9797116924719701,0.9614880796436992,0.9673333333333334
validation_optimized,1.3504299,0.9741586538461539,0.8654564869193807,0.9165959852982754,0.9344444444444444
